L,phi,psi,omega,d,theta,rg,re,R
10,-180.0,-86.0,180,-3.31933321507,97.8484885351,191.716798645,27.6401682852,0.130597009887
10,-180.0,-85.0,180,-3.30864929403,97.0370006265,189.824186937,27.5074522651,0.131971715254
10,-180.0,-84.0,180,-3.29767572302,96.2281641314,187.901029833,27.3720037447,0.133346420621
10,-180.0,-83.0,180,-3.28640390171,95.4220510224,185.946941176,27.2336893105,0.134721125988
10,-180.0,-82.0,180,-3.27482494285,94.6187354127,183.961562748,27.092371155,0.136095831355
10,-180.0,-81.0,180,-3.26292966383,93.818293628,181.944569209,26.9479072423,0.137470536723
10,-180.0,-80.0,180,-3.25070857825,93.0208042792,179.895674105,26.8001527131,0.138845203507
10,-180.0,-79.0,180,-3.23815188738,92.2263483383,177.814631014,26.6489604271,0.140219908874
10,-180.0,-78.0,180,-3.22524947158,91.435009216,175.701247214,26.4941822175,0.141594614242
10,-180.0,-77.0,180,-3.21199088183,90.6468728406,173.555382494,26.335669598,0.142969319609
10,-180.0,-76.0,180,-3.19836533125,89.8620277408,171.376955674,26.1732751342,0.144344024976
10,-180.0,-75.0,180,-3.18436168667,89.0805651283,169.165949824,26.006852821,0.145718730343
10,-180.0,-74.0,180,-3.16996846044,88.3025789846,166.922413505,25.8362594297,0.147289860774
10,-180.0,-73.0,180,-3.15517380236,87.528166148,164.646473936,25.6613557879,0.148664566142
10,-180.0,-72.0,180,-3.13996549187,86.7574264041,162.338328348,25.4820069582,0.150039271509
10,-180.0,-71.0,180,-3.12433093053,85.9904625766,159.998253562,25.2980832083,0.151413976876
10,-180.0,-70.0,180,-3.10825713496,85.2273806213,157.626610574,25.1094615779,0.152788682243
10,-180.0,-69.0,180,-3.09173073013,84.468289721,155.22384225,24.9160255513,0.15416338761
10,-180.0,-68.0,180,-3.0747379433,83.7133023822,152.790476071,24.7176664592,0.155538092978
10,-180.0,-67.0,180,-3.05726459855,82.9625345331,150.327127922,24.514283906,0.156912798345
10,-180.0,-66.0,180,-3.03929611207,82.2161056228,147.834501258,24.3057861545,0.158287465129
10,-180.0,-65.0,180,-3.02081748833,81.474138722,145.313385918,24.0920907415,0.159662170497
10,-180.0,-64.0,180,-3.00181331727,80.7367606239,142.764659601,23.8731246005,0.161036875864
